Server Name,File Name,Config Type,Docker Permutation Key,Install Success,Logs Retrieved,Ping Success,Error,Timestamp
0xdaef0f__job-searchoor,0xdaef0f__job-searchoor.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:41:05.845Z
0xshellming__mcp-summarizer,0xshellming__mcp-summarizer.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:41:05.846Z
13bm__ghidramcp,13bm__ghidramcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:41:05.847Z
1mcp-app__agent,1mcp-app__agent.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:41:05.847Z
21st-dev__magic-mcp,21st-dev__magic-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:41:05.847Z
2niuhe__plantuml_web,2niuhe__plantuml_web.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:41:05.847Z
2niuhe__qrcode_mcp,2niuhe__qrcode_mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:41:05.847Z
34892002__bilibili-mcp-js,34892002__bilibili-mcp-js.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:41:05.847Z
4everland__4everland-hosting-mcp,4everland__4everland-hosting-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:41:05.847Z
8b-is__smart-tree,8b-is__smart-tree.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:41:05.847Z
8ensmith__mcp-open-library,8ensmith__mcp-open-library.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:42:07.254Z
aaronjmars__web3-research-mcp,aaronjmars__web3-research-mcp.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:42:07.254Z
aas-ee__open-websearch,aas-ee__open-websearch.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:42:07.254Z
aashari__mcp-server-atlassian-bitbucket,aashari__mcp-server-atlassian-bitbucket.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:42:07.254Z
